Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bauchspeicheldrüse (C25);45 - 54;weiblich;1;224;236;247;265;259;300;300;294;318;356;338;361;374;343;342;337
Bauchspeicheldrüse (C25);45 - 54;männlich;1;345;383;367;421;374;448;410;428;470;461;479;489;473;468;474;380
Bauchspeicheldrüse (C25);55 - 64;weiblich;1;607;627;635;681;636;683;651;713;754;829;803;830;966;943;904;973
Bauchspeicheldrüse (C25);55 - 64;männlich;1;875;906;839;977;915;952;968;971;1.076;1.096;1.106;1.132;1.194;1.190;1.217;1.127
Bauchspeicheldrüse (C25);65 - 74;weiblich;1;985;1.052;1.079;1.227;1.148;1.292;1.302;1.338;1.355;1.363;1.339;1.392;1.358;1.345;1.283;1.320
Bauchspeicheldrüse (C25);65 - 74;männlich;1;1.190;1.224;1.339;1.403;1.417;1.522;1.538;1.613;1.545;1.638;1.578;1.662;1.652;1.529;1.508;1.372
Bauchspeicheldrüse (C25);75 und älter;weiblich;1;1.528;1.601;1.650;1.799;1.739;1.825;2.012;1.989;2.099;2.146;2.196;2.385;2.413;2.526;2.425;2.381
Bauchspeicheldrüse (C25);75 und älter;männlich;1;837;869;982;1.023;1.079;1.196;1.324;1.425;1.380;1.535;1.668;1.895;2.057;1.887;1.862;1.842
Kehlkopf (C32);0 - 44;weiblich;1;23;26;25;26;27;25;21;17;15;19;16;15;10;15;11;17
Kehlkopf (C32);0 - 44;männlich;1;125;91;120;123;115;93;91;67;76;51;41;50;49;39;30;42
Kehlkopf (C32);45 - 54;weiblich;1;72;84;98;81;84;86;85;84;85;94;76;88;68;79;71;71
Kehlkopf (C32);45 - 54;männlich;1;498;535;612;513;577;550;503;445;450;407;422;401;388;335;281;264
Kehlkopf (C32);55 - 64;weiblich;1;117;128;168;120;122;142;123;137;147;169;147;176;135;165;163;166
Kehlkopf (C32);55 - 64;männlich;1;1.081;1.033;1.063;894;952;910;941;823;895;850;853;856;854;835;753;765
Kehlkopf (C32);65 - 74;weiblich;1;86;104;146;108;121;131;106;150;139;163;135;147;119;149;158;163
Kehlkopf (C32);65 - 74;männlich;1;1.057;1.075;1.103;1.022;1.026;1.067;1.005;929;974;912;901;838;792;805;800;770
Kehlkopf (C32);75 und älter;weiblich;1;96;88;133;93;92;97;113;93;90;100;93;126;111;109;117;130
